GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module de gestion de bulletin de salaire - GESTBULL,ci.gouv.dgbf.system.gestbull.server.api,PayslipFilter,9,95,0,0,0,21,3,15,3,15
API du serveur du module de gestion de bulletin de salaire - GESTBULL,ci.gouv.dgbf.system.gestbull.server.api,PayslipClient,0,50,0,0,0,11,0,5,0,5
API du serveur du module de gestion de bulletin de salaire - GESTBULL,ci.gouv.dgbf.system.gestbull.server.api,PayslipService.GetBytesRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module de gestion de bulletin de salaire - GESTBULL,ci.gouv.dgbf.system.gestbull.server.api,PayslipDto,0,3,0,0,0,1,0,1,0,1
